Player,Maps,Rounds,K-D Diff,K/D,Rating1.0,deaths,kills,abates_por_rounds,mortes_por_rounds,classificacao,dano_por_round,rounds_vivo_vitoria,clutchs_ganhos,grau_consistencia
JUGi,697,18216,1581,1.14,1.06,11292.85714285715,12873.85714285715,0.7067334839073973,0.6199416525503486,1.06,79.5,61.44087367603909,3.0,5.6471076459007
draken,938,24851,1875,1.12,1.06,15624.999999999985,17499.999999999985,0.7041970142046592,0.6287473341113028,1.06,79.5,60.30780815150838,3.0,5.592740661432612
nicoodoz,783,20338,1627,1.13,1.06,12515.384615384626,14142.384615384626,0.695367519686529,0.6153694864482557,1.06,79.5,62.0291942673356,3.0,5.5000000000000036
autimatic,1105,28923,1731,1.09,1.06,19233.333333333318,20964.333333333318,0.7248326015051453,0.6649840380781149,1.06,79.5,55.64507310900125,3.0,6.013778731420683
FL1T,1272,33622,2268,1.1,1.06,22679.999999999978,24947.999999999978,0.7420141573969419,0.6745583249063107,1.06,79.5,54.4131077861692,3.0,6.345729398459061
f0rest,1254,33319,2000,1.09,1.05,22222.2222222222,24222.2222222222,0.7269792677517993,0.6669534566530269,1.05,78.75,54.98737116954296,3.0,6.055498357698988
snatchie,1156,31019,1520,1.07,1.05,21714.285714285696,23234.285714285696,0.7490340022014151,0.7000317777583318,1.05,78.75,50.77119312756452,3.0,6.4812689556767555
dupreeh,1692,43855,2653,1.09,1.05,29477.777777777752,32130.777777777752,0.7326593952292271,0.6721645827791073,1.05,78.75,54.323158633579745,3.0,6.165983257457857
ZOREE,834,22437,1525,1.11,1.05,13863.636363636351,15388.636363636351,0.6858598013832665,0.6178917129578977,1.05,78.75,61.24080361582887,3.0,5.499999999999996
ScreaM,776,20405,976,1.07,1.05,13942.85714285713,14918.85714285713,0.7311373262855737,0.6833059124164239,1.05,78.75,52.90307962697731,3.0,6.136557652942301
MICHU,1122,29586,1205,1.06,1.05,20083.333333333314,21288.333333333314,0.7195407737894043,0.678812050744721,1.05,78.75,53.47586930525647,3.0,5.90963146809026
nex,693,18432,986,1.08,1.05,12324.999999999989,13310.999999999989,0.7221679687499994,0.6686740451388883,1.05,78.75,54.768064168734924,3.0,5.961646131768339
Ethan,885,23442,972,1.06,1.05,16199.999999999985,17171.999999999985,0.7325313539800352,0.6910673150755049,1.05,78.75,51.913807669612986,3.0,6.163511996614553
slaxz-,784,21025,1392,1.11,1.05,12654.545454545443,14046.545454545443,0.6680877742946703,0.6018808777429462,1.05,78.75,63.28155204595967,3.0,5.499999999999997
FalleN,1615,42028,2954,1.12,1.05,24616.666666666646,27570.666666666646,0.6560071063735282,0.5857206306906502,1.05,78.75,65.34134457768857,3.0,5.499999999999999
